[2025-03-25T10:23:05.538Z] MEMBER_LEAVE: {"user":{"id":"1352533050474627072","tag":"Black Diamond#9558"},"roles":["@everyone"],"joinedAt":"2025-03-24T13:44:54.697Z","guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T10:23:05.536Z"}
[2025-03-25T10:35:14.541Z] MEMBER_UPDATE: {"user":{"id":"773994691690496050","tag":"jaathr09"},"changes":{"nickname":null,"addedRoles":[{"id":"1321183017896644628","name":"OG Programmer"}],"removedRoles":[]},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T10:35:14.540Z"}
[2025-03-25T10:44:30.345Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"join","oldChannel":null,"newChannel":{"id":"1320715964538421319","name":"Meeting Room"}},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T10:44:30.345Z"}
[2025-03-25T10:47:26.408Z] MEMBER_LEAVE: {"user":{"id":"1205171441591648371","tag":"ghost_05x"},"roles":["@everyone"],"joinedAt":"2025-03-25T04:56:46.779Z","guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T10:47:26.408Z"}
[2025-03-25T11:17:37.056Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"leave","oldChannel":{"id":"1320715964538421319","name":"Meeting Room"},"newChannel":null},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:17:37.052Z"}
[2025-03-25T11:17:41.564Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"join","oldChannel":null,"newChannel":{"id":"1320715964538421319","name":"Meeting Room"}},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:17:41.564Z"}
[2025-03-25T11:20:14.995Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"leave","oldChannel":{"id":"1320715964538421319","name":"Meeting Room"},"newChannel":null},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:20:14.995Z"}
[2025-03-25T11:20:19.003Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"join","oldChannel":null,"newChannel":{"id":"1320715964538421319","name":"Meeting Room"}},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:20:19.003Z"}
[2025-03-25T11:20:50.019Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"leave","oldChannel":{"id":"1320715964538421319","name":"Meeting Room"},"newChannel":null},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:20:50.019Z"}
[2025-03-25T11:20:50.032Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"leave","oldChannel":{"id":"1320715964538421319","name":"Meeting Room"},"newChannel":null},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:20:50.031Z"}
[2025-03-25T11:20:51.345Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"join","oldChannel":null,"newChannel":{"id":"1320715964538421319","name":"Meeting Room"}},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:20:51.344Z"}
[2025-03-25T11:20:51.346Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"join","oldChannel":null,"newChannel":{"id":"1320715964538421319","name":"Meeting Room"}},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:20:51.346Z"}
[2025-03-25T11:21:31.641Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"leave","oldChannel":{"id":"1320715964538421319","name":"Meeting Room"},"newChannel":null},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:21:31.641Z"}
[2025-03-25T11:21:35.952Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"join","oldChannel":null,"newChannel":{"id":"1320715964538421319","name":"Meeting Room"}},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:21:35.952Z"}
[2025-03-25T11:32:06.796Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"leave","oldChannel":{"id":"1320715964538421319","name":"Meeting Room"},"newChannel":null},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:32:06.792Z"}
[2025-03-25T11:32:06.796Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"leave","oldChannel":{"id":"1320715964538421319","name":"Meeting Room"},"newChannel":null},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:32:06.793Z"}
[2025-03-25T11:32:10.625Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"join","oldChannel":null,"newChannel":{"id":"1320715964538421319","name":"Meeting Room"}},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:32:10.625Z"}
[2025-03-25T11:32:10.689Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"join","oldChannel":null,"newChannel":{"id":"1320715964538421319","name":"Meeting Room"}},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:32:10.689Z"}
[2025-03-25T11:32:17.338Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"leave","oldChannel":{"id":"1320715964538421319","name":"Meeting Room"},"newChannel":null},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:32:17.338Z"}
[2025-03-25T11:32:17.339Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"leave","oldChannel":{"id":"1320715964538421319","name":"Meeting Room"},"newChannel":null},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:32:17.339Z"}
[2025-03-25T11:32:18.531Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"join","oldChannel":null,"newChannel":{"id":"1321404295316373575","name":"Smoking Room..."}},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:32:18.530Z"}
[2025-03-25T11:32:18.556Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"join","oldChannel":null,"newChannel":{"id":"1321404295316373575","name":"Smoking Room..."}},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:32:18.556Z"}
[2025-03-25T11:50:40.982Z] VOICE_UPDATE: {"user":{"id":"1205547703614836838","tag":"west_05x"},"change":{"type":"move","oldChannel":{"id":"1321404295316373575","name":"Smoking Room..."},"newChannel":{"id":"1321404428657365014","name":"Meeting Room"}},"guild":{"id":"1317705744384004256","name":"Geeky.inc"},"timestamp":"2025-03-25T11:50:40.979Z"}
